"username";"review";"reply";"final_reply"
"Nadir Freitas";"Meu amor pela CasaBAnhia eterno já usei boletojComprw muito 20 anos agora ninguém que me aceitar mas não tenho o cartão sempre fiel agora só avista fica mais difícil preciso armario fogão avista não é possível continuo cliente quando poço meu atendente aí e Marcelo da moto nota.dez aqui Nadir j freitas que Deus abençoe todos um grande abraço Gratidão";"Olá, Nadir! Agradecemos pelo seu feedback. Gostaríamos de entender melhor a sua situação para ajudá-lo a encontrar a melhor solução. Se precisar de ajuda ou informações adicionais, entre em contato conosco pelo Zap ou ligue para (11) 4003-4336. Conte conosco!";"Olá, Nadir! Lamentamos por isso. Caso queira saber sobre seu Cartão Casas Bahia, por gentileza, baixe e utilize o app ""Bradesco Cartões"" na loja de aplicativos do seu celular. É simples e rápido. Conte conosco!"
"Cleandy silva";"Muito complicado pra acessar";"Ei, Cleandy! Agradecemos por compartilhar sua experiência. Se acessar o app CB tem sido complicado, gostaríamos de saber o que exatamente poderíamos ajustar para facilitar para você. Contamos com sua ajuda!";"Olá, Cleandy! Estamos aqui para ajudar com o seu acesso. Por favor, verifique se o app está atualizado e vá nas configurações do seu celular - aplicativos - app do CB - limpar dados/cache. Se a situação continuar da mesma forma, acesse o menu Conta - Chama no Zap ou ligue para (11) 4003-4336, tudo bem? Conte conosco!"
"Flavio Silva";"Lugar varo";"Olá, Flavio! Agradecemos pelo seu feedback, mesmo que curto! Se precisar de ajuda ou sugestões para melhorar, fique à vontade para nos chamar. Estamos aqui para evoluir e atendê-lo da melhor forma possível!";"Olá, Flavio! Sentimos muito por isso. Poderia explicar para nós o que aconteceu? Seu feedback é muito importante para a gente. Ele nos possibilita trabalhar constantemente em melhorias para você, combinado? Em caso de dúvidas, é só chamar. Estamos à disposição!"
"YNA Duarte";"ESTOU AMANDO FAZER COMPRAS 🛍 ALGUÉM POR FAVOR AUMENTA MEU CRÉDITO 💳 PRECISO COMPRAR TABLET OBRIGADO";"Olá, YNA! Agradecemos muito pelo seu comentário positivo e por compartilhar a sua experiência de compras conosco! 😊 Ficamos felizes em saber que está amando usar nosso app para suas compras. Continue aproveitando e se precisar de ajuda, estamos aqui para você!";"Olá, Duarte! Vamos te ajudar com seu crédito! Para informações sobre o seu Cartão Casas Bahia, por gentileza, baixe e utilize o app ""Bradesco Cartões"" na loja de aplicativos do seu celular. É simples e rápido, tá bom? Estamos à disposição!"
"Edivaldo Campanhão";"Geladeira";"Oi, Edivaldo! Agradecemos muito pelo seu comentário positivo e pela avaliação de 5 estrelas! Ficamos felizes em saber que você está satisfeito com o nosso aplicativo. Continue contando conosco para deixar suas compras online ainda mais práticas e rápidas! 😃👏";"Olá, Edivaldo! Estamos aqui para te oferecer suporte com qualquer situação. Caso necessite de suporte com seu produto, por favor, acesse o menu Conta - Chama no Zap, ou se preferir, ligue para o telefone (11) 4003-4336, ok? Vamos estar aqui sempre que você precisar!"
"Maria Ang Bicudo";"mudar senha e celular";"Olá, Maria! Agradecemos por compartilhar sua experiência conosco. Para alterar a senha e o número de celular, sugerimos acessar o menu Conta - Chama no Zap. Continue contando conosco para mais melhorias!";"Olá, Maria! Viemos te ajudar com os dados do seu cadastro. Para isso, por favor, nos contate acessando o menu Conta - Chama no Zap. Se prefirir, ligue para o número de telefone (11) 4003-4336, tudo bem? Por lá, poderemos oferecer todo o suporte necessário para a sua situação. Estamos aqui sempre que você precisar!"
"Rodrigo Souza";"E boa mais toda hora o carne some";"Oi, Rodrigo! Agradecemos pelo feedback! Sentimos muito por qualquer inconveniente. Para resolver isso, verifique se está com a última versão do app CB instalada. Se o problema persistir, entre em contato conosco pelo Zap ou ligue para (11) 4003-4336. Estamos aqui para te ajudar!";"Olá, Rodrigo. Agradecemos pelo feedback positivo. Para utilizar o carnê, alguns requisitos devem ser atendidos. Os produtos devem ser vendidos e entregues pelo CB, sua compra não deve conter nenhum seguro ou serviço e a modalidade da entrega deve ser normal ou agendada, ok? Sempre que precisar, conte conosco!"
"Rosemary Pessoa";"Vou comprar nas lojas e não posso ter um cartão";"Oi, Rosemary! Agradecemos por compartilhar sua experiência conosco. Se precisar de ajuda para encontrar uma solução alternativa, estamos à disposição para auxiliar. Contamos com você para todas as suas compras!";"Olá, Rosemary! Viemos te ajudar. Para informações sobre o seu Cartão Casas Bahia, por gentileza, baixe e utilize o app ""Bradesco Cartões"" na loja de aplicativos do seu celular. É simples e rápido. Conte conosco!"
"Lizandra Oliveira";"Muita notificação, nunca tem produto disponível, muito ruim.";"Olá, Lizandra! Agradecemos pelo seu feedback. Entendemos sua preocupação em relação às notificações. Vamos analisar essa questão internamente para melhorar a sua experiência. Se precisar de ajuda, conte conosco!";"Olá, Lizandra! Vamos te ajudar com essa situação. Por favor, vá nas Configurações (no seu celular) - Apps - Gerenciar - selecione o app, e depois vá em Notificações e coloque ""Não"". Sobre os produtos, acesse o menu Conta - Chama no Zap que iremos resolver rapidamente, ok? Estamos à disposição!"
"Davi Alencar";"ÓTIMO ENTRETANTO GOSTARIA DE SOLICITAR A PONDERAÇÃO. O QUE DIZ RESPEITO ÀS PROPAGANDAS";"Olá, Davi! Agradecemos pelo seu feedback positivo e pela avaliação de 5 estrelas! Ficamos felizes em saber que está gostando do nosso app. Levaremos a sua solicitação sobre as propagandas em consideração para possíveis melhorias. Continue contando conosco!";"Olá, Davi! Você diz sobre as notificações? Se sim, é só ir nas Configurações (no seu celular) - Apps - Gerenciar - selecione o app, e depois vá em Notificações e coloque ""Não"", tudo bem? Caso ainda precise de suporte, nos contate através do menu Conta - Chama no Zap. Conte sempre conosco!"
"Sonia Santos";"Casada e aposentada moro no Bem Viver";"Oi, Sonia! Agradecemos muito pelo seu comentário positivo! Ficamos felizes em saber que você considera nosso aplicativo ótimo. Pensamos em cada detalhe para deixar tudo mais prático e rápido para suas compras online, viu?";"Olá, Sonia! Agradecemos pelo seu contato. Saiba que seu feedback é muito importante para nós. Ele nos possibilita trabalhar constantemente em melhorias para você! Em caso de dúvidas, estamos à disposição!"
"Ivanil leandro";"Preço da maquina de alta pressao";"Oi, Ivanil! Agradecemos pelo seu comentário neutro e pela avaliação máxima! Ficamos felizes que tenha gostado do preço da máquina de alta pressão. Se precisar de mais informações sobre nossos produtos, estamos à disposição!";"Olá, Ivanil! Estamos aqui para te oferecer suporte com qualquer situação. Para esclarecermos suas dúvidas, por favor, acesse o menu Conta - Chama no Zap, ok? Vamos estar aqui sempre que você precisar!"
"Marcos Carlos";"awesome 🥳🎉💃🏼🎊✌🏼";"Olá, Marcos! Agradecemos pelo seu comentário positivo e pelos emojis animados! Ficamos felizes em saber que você está se divertindo usando nosso app. Conte conosco para deixar sua experiência sempre incrível! 🎉🥳📱";"Marcos, we are very happy to receive your positive feedback! Thank you for your comment and for using our app. We are always working to offer an increasingly better experience for you. If you have any suggestions, just call!"
"Rosangela Rodrigues";"Eu fiz uma cirurgia é até agora não voltei au trabalho portanto eu tenho 2 faturas uma do celular outra do guarda roupa más voi pagar tudo assim que eu receber mais que um salário, me perdoe por atraso.";"Olá, Rosangela! Agradecemos pelo seu feedback positivo! Ficamos contentes em saber que está satisfeita com o nosso aplicativo. Esperamos que sua recuperação pós-cirurgia esteja correndo bem! Continue contando conosco para qualquer suporte que precisar. 😊🌟";"Olá, Rosangela! Se precisar de ajuda com sua fatura, por gentileza, baixe e utilize o app ""Bradesco Cartões"" na loja de aplicativos do seu celular. É simples e rápido, tá bom? Estamos à disposição!"
"Kssonorizaçao Sonorizaçao";"Nunca usei não sei disser";"Olá, Kssonorizaçao! Agradecemos pelo seu feedback positivo e por confiar em nosso app, mesmo sem ter utilizado. Ficamos felizes em saber que estamos deixando uma boa impressão. Se precisar de ajuda no futuro, conte conosco!";"Olá! Agradecemos pelo seu feedback! Estamos sempre trabalhando para oferecer uma experiência cada vez melhor para você, tudo bem? Por isso, se tiver alguma sugestão, é só mandar que iremos ouvi-la! Conte conosco!"
"lucilene fátima";"1ª compra c/ cartão Casas Bahia mto bom as parc.sem juros. Porém antes os preços das Casas Bahia em geral eram mais baixos";"Olá, Lucilene! Agradecemos por compartilhar sua experiência positiva com a 1ª compra com o Cartão Casas Bahia! Ficamos felizes em saber que as parcelas sem juros foram vantajosas para você. Continue aproveitando as promoções! 💳🛍️";"Oi, Lucilene! Agradecemos muito seu comentário! Já estamos trabalhando em melhorias em nossos preços, tá bem? Por enquanto fique de olho nos nossos cupons e promoções. Se precisar de nossa ajuda, nos chama em menu Conta - Chama no Zap. Tamo junto!"
"Ruth Ambili";"Péssimo. Não atualiza status do rastreio da compra";"Lamentamos saber que teve uma experiência insatisfatória com nosso app. Pode acessar o menu Conta - Chama no Zap para obter suporte sobre o rastreio da sua compra? Estamos disponíveis para ajudar no que for preciso.";"Olá, Ruth. Vamos te ajudar com o rastreio do seu pedido! Por gentileza, pedimos que você nos contate acessando dentro do app o menu Conta - Chama no Zap. Caso a situação persistir, ligue para o telefone (11) 4003-4336, ok? Estamos te esperando por lá!"
"luciene silva";"Eu não estou conseguindo fazer login.";"Olá, Luciene! Agradecemos por compartilhar sua experiência. Recomendamos verificar se o app está atualizado e limpar os dados/cache. Se o problema persistir, acesse o menu Conta - Chama no Zap ou ligue para (11) 4003-4336.";"Olá, Luciene! Vamos te ajudar com seu login. Por favor, certifique-se de que o app está atualizado e vá nas configurações do seu celular - aplicativos - app do CB - limpar dados/cache. Se a situação persistir, acesse o menu Conta - Chama no Zap ou ligue para (11) 4003-4336, ok? Sempre que precisar, conte conosco!"
